Diet,Food,Value,Year,
EAT-Lancet,cereals,232,2017,
EAT-Lancet,roots_tubers,50,2017,
EAT-Lancet,vegetables,300,2017,
EAT-Lancet,fruits,200,2017,
EAT-Lancet,milk_equivalents,250,2017,
EAT-Lancet,red_meat,14,2017,
EAT-Lancet,poultry,29,2017,
EAT-Lancet,eggs,13,2017,
EAT-Lancet,seafood,28,2017,
EAT-Lancet,legumes,75,2017,
EAT-Lancet,nuts,50,2017,
EAT-Lancet,oils,52,2017,
EAT-Lancet,sugar,31,2017,
United Kingdom,cereals,324.0547945,2017,
United Kingdom,roots_tubers,253.3150685,2017,
United Kingdom,vegetables,227.1506849,2017,
United Kingdom,fruits,245.4794521,2017,
United Kingdom,milk_equivalents,612.739726,2017,
United Kingdom,red_meat,128.1369863,2017,
United Kingdom,poultry,87.50684932,2017,
United Kingdom,eggs,30.76712329,2017,
United Kingdom,seafood,54.05479452,2017,
United Kingdom,legumes,10.08219178,2017,
United Kingdom,nuts,4.465753425,2017,
United Kingdom,oils,50.16438356,2017,
United Kingdom,sugar,96.32876712,2017,
United States,cereals,298.7671233,2017,
United States,roots_tubers,154.0821918,2017,
United States,vegetables,310.7123288,2017,
United States,fruits,246.5753425,2017,
United States,milk_equivalents,698.2739726,2017,
United States,red_meat,185.2328767,2017,
United States,poultry,152.5479452,2017,
United States,eggs,42.65753425,2017,
United States,seafood,61.26027397,2017,
United States,legumes,10.2739726,2017,
United States,nuts,9.616438356,2017,
United States,oils,62.79452055,2017,
United States,sugar,90.30136986,2017,
China,cereals,535.8082192,2017,
China,roots_tubers,182.4657534,2017,
China,vegetables,1033.342466,2017,
China,fruits,268.3013699,2017,
China,milk_equivalents,65.89041096,2017,
China,red_meat,127.2876712,2017,
China,poultry,35.28767123,2017,
China,eggs,62.24657534,2017,
China,seafood,104.5753425,2017,
China,legumes,3.753424658,2017,
China,nuts,8.054794521,2017,
China,oils,26.30136986,2017,
China,sugar,19.80821918,2017,
India,cereals,505.6438356,2017,
India,roots_tubers,81.17808219,2017,
India,vegetables,218.7945205,2017,
India,fruits,158.0547945,2017,
India,milk_equivalents,290.5753425,2017,
India,red_meat,3.97260274,2017,
India,poultry,6.082191781,2017,
India,eggs,8.904109589,2017,
India,seafood,18.90410959,2017,
India,legumes,45.69863014,2017,
India,nuts,4.438356164,2017,
India,oils,21.8630137,2017,
India,sugar,44.35616438,2017,
Ethiopia,cereals,437.6986301,2017,
Ethiopia,roots_tubers,223.8630137,2017,
Ethiopia,vegetables,36.57534247,2017,
Ethiopia,fruits,23.34246575,2017,
