areaCode,areaName,areaType,date,newCasesBySpecimenDate
E06000003,Redcar and Cleveland,ltla,2021-10-12,25
E07000040,East Devon,ltla,2021-10-12,36
E07000090,Havant,ltla,2021-10-12,11
E07000214,Surrey Heath,ltla,2021-10-12,17
E07000229,Worthing,ltla,2021-10-12,13
E08000001,Bolton,ltla,2021-10-12,33
E08000009,Trafford,ltla,2021-10-12,63
E08000016,Barnsley,ltla,2021-10-12,53
E08000032,Bradford,ltla,2021-10-12,73
E09000003,Barnet,ltla,2021-10-12,43
E09000018,Hounslow,ltla,2021-10-12,46
E09000032,Wandsworth,ltla,2021-10-12,12
E09000033,Westminster,ltla,2021-10-12,22
S12000045,East Dunbartonshire,ltla,2021-10-12,5
W06000023,Powys,ltla,2021-10-12,0
E06000003,Redcar and Cleveland,ltla,2021-10-11,124
E07000040,East Devon,ltla,2021-10-11,126
E07000090,Havant,ltla,2021-10-11,102
E07000214,Surrey Heath,ltla,2021-10-11,82
E07000229,Worthing,ltla,2021-10-11,61
E08000001,Bolton,ltla,2021-10-11,107
E08000009,Trafford,ltla,2021-10-11,260
E08000016,Barnsley,ltla,2021-10-11,271
E08000032,Bradford,ltla,2021-10-11,366
E09000003,Barnet,ltla,2021-10-11,209
E09000018,Hounslow,ltla,2021-10-11,195
E09000032,Wandsworth,ltla,2021-10-11,104
E09000033,Westminster,ltla,2021-10-11,64
S12000045,East Dunbartonshire,ltla,2021-10-11,67
W06000023,Powys,ltla,2021-10-11,45
E06000003,Redcar and Cleveland,ltla,2021-10-10,84
E07000040,East Devon,ltla,2021-10-10,79
E07000090,Havant,ltla,2021-10-10,74
E07000214,Surrey Heath,ltla,2021-10-10,83
E07000229,Worthing,ltla,2021-10-10,59
E08000001,Bolton,ltla,2021-10-10,82
E08000009,Trafford,ltla,2021-10-10,194
E08000016,Barnsley,ltla,2021-10-10,197
E08000032,Bradford,ltla,2021-10-10,299
E09000003,Barnet,ltla,2021-10-10,161
E09000018,Hounslow,ltla,2021-10-10,149
E09000032,Wandsworth,ltla,2021-10-10,92
E09000033,Westminster,ltla,2021-10-10,54
S12000045,East Dunbartonshire,ltla,2021-10-10,31
W06000023,Powys,ltla,2021-10-10,59
E06000003,Redcar and Cleveland,ltla,2021-10-09,62
E07000040,East Devon,ltla,2021-10-09,72
E07000090,Havant,ltla,2021-10-09,60
E07000214,Surrey Heath,ltla,2021-10-09,46
E07000229,Worthing,ltla,2021-10-09,40
E08000001,Bolton,ltla,2021-10-09,102
E08000009,Trafford,ltla,2021-10-09,202
E08000016,Barnsley,ltla,2021-10-09,167
E08000032,Bradford,ltla,2021-10-09,280
E09000003,Barnet,ltla,2021-10-09,125
E09000018,Hounslow,ltla,2021-10-09,132
E09000032,Wandsworth,ltla,2021-10-09,88
E09000033,Westminster,ltla,2021-10-09,49
S12000045,East Dunbartonshire,ltla,2021-10-09,27
W06000023,Powys,ltla,2021-10-09,61
E06000003,Redcar and Cleveland,ltla,2021-10-08,60
E07000040,East Devon,ltla,2021-10-08,87
E07000090,Havant,ltla,2021-10-08,72
E07000214,Surrey Heath,ltla,2021-10-08,53
E07000229,Worthing,ltla,2021-10-08,58
E08000001,Bolton,ltla,2021-10-08,102
E08000009,Trafford,ltla,2021-10-08,226
E08000016,Barnsley,ltla,2021-10-08,213
