Gender,Date,Furloughed Employments
Female,"Wednesday, July 1, 2020","2,907,700"
Female,"Thursday, July 2, 2020","2,908,100"
Female,"Friday, July 3, 2020","2,904,600"
Female,"Saturday, July 4, 2020","2,894,200"
Female,"Sunday, July 5, 2020","2,888,500"
Female,"Monday, July 6, 2020","2,881,300"
Female,"Tuesday, July 7, 2020","2,876,100"
Female,"Wednesday, July 8, 2020","2,863,200"
Female,"Thursday, July 9, 2020","2,858,500"
Female,"Friday, July 10, 2020","2,854,000"
Female,"Saturday, July 11, 2020","2,844,500"
Female,"Sunday, July 12, 2020","2,837,100"
Female,"Monday, July 13, 2020","2,813,000"
Female,"Tuesday, July 14, 2020","2,807,700"
Female,"Wednesday, July 15, 2020","2,801,600"
Female,"Thursday, July 16, 2020","2,794,800"
Female,"Friday, July 17, 2020","2,790,900"
Female,"Saturday, July 18, 2020","2,778,900"
Female,"Sunday, July 19, 2020","2,769,000"
Female,"Monday, July 20, 2020","2,745,500"
Female,"Tuesday, July 21, 2020","2,735,900"
Female,"Wednesday, July 22, 2020","2,730,100"
Female,"Thursday, July 23, 2020","2,724,900"
Female,"Friday, July 24, 2020","2,715,800"
Female,"Saturday, July 25, 2020","2,699,600"
Female,"Sunday, July 26, 2020","2,681,200"
Female,"Monday, July 27, 2020","2,647,500"
Female,"Tuesday, July 28, 2020","2,638,700"
Female,"Wednesday, July 29, 2020","2,627,600"
Female,"Thursday, July 30, 2020","2,621,300"
Female,"Friday, July 31, 2020","2,599,300"
Female,"Saturday, August 1, 2020","2,131,900"
Female,"Sunday, August 2, 2020","2,132,100"
Female,"Monday, August 3, 2020","2,131,000"
Female,"Tuesday, August 4, 2020","2,127,700"
Female,"Wednesday, August 5, 2020","2,126,300"
Female,"Thursday, August 6, 2020","2,125,300"
Female,"Friday, August 7, 2020","2,124,600"
Female,"Saturday, August 8, 2020","2,119,400"
Female,"Sunday, August 9, 2020","2,116,800"
Female,"Monday, August 10, 2020","2,106,000"
Female,"Tuesday, August 11, 2020","2,103,000"
Female,"Wednesday, August 12, 2020","2,101,700"
Female,"Thursday, August 13, 2020","2,100,300"
Female,"Friday, August 14, 2020","2,098,100"
Female,"Saturday, August 15, 2020","2,091,100"
Female,"Sunday, August 16, 2020","2,085,000"
Female,"Monday, August 17, 2020","2,072,600"
Female,"Tuesday, August 18, 2020","2,069,500"
Female,"Wednesday, August 19, 2020","2,067,900"
Female,"Thursday, August 20, 2020","2,065,900"
Female,"Friday, August 21, 2020","2,059,900"
Female,"Saturday, August 22, 2020","2,053,200"
Female,"Sunday, August 23, 2020","2,047,400"
Female,"Monday, August 24, 2020","2,035,200"
Female,"Tuesday, August 25, 2020","2,031,100"
Female,"Wednesday, August 26, 2020","2,026,000"
Female,"Thursday, August 27, 2020","2,022,700"
Female,"Friday, August 28, 2020","2,017,900"
Female,"Saturday, August 29, 2020","1,981,800"
Female,"Sunday, August 30, 2020","1,970,800"
Female,"Monday, August 31, 2020","1,920,900"
Female,"Tuesday, September 1, 2020","1,517,300"
Female,"Wednesday, September 2, 2020","1,517,300"
Female,"Thursday, September 3, 2020","1,515,700"
Female,"Friday, September 4, 2020","1,514,400"
Female,"Saturday, September 5, 2020","1,512,300"
Female,"Sunday, September 6, 2020","1,509,400"
Female,"Monday, September 7, 2020","1,501,700"
Female,"Tuesday, September 8, 2020","1,498,000"
Female,"Wednesday, September 9, 2020","1,497,000"
Female,"Thursday, September 10, 2020","1,495,700"
Female,"Friday, September 11, 2020","1,494,100"
Female,"Saturday, September 12, 2020","1,491,300"
Female,"Sunday, September 13, 2020","1,490,100"
Female,"Monday, September 14, 2020","1,478,700"
Female,"Tuesday, September 15, 2020","1,475,800"
Female,"Wednesday, September 16, 2020","1,474,200"
Female,"Thursday, September 17, 2020","1,473,100"
Female,"Friday, September 18, 2020","1,470,100"
Female,"Saturday, September 19, 2020","1,466,800"
Female,"Sunday, September 20, 2020","1,465,200"
Female,"Monday, September 21, 2020","1,460,500"
Female,"Tuesday, September 22, 2020","1,458,400"
Female,"Wednesday, September 23, 2020","1,457,200"
Female,"Thursday, September 24, 2020","1,455,500"
Female,"Friday, September 25, 2020","1,453,200"
Female,"Saturday, September 26, 2020","1,441,200"
Female,"Sunday, September 27, 2020","1,436,300"
Female,"Monday, September 28, 2020","1,428,100"
Female,"Tuesday, September 29, 2020","1,421,500"
Female,"Wednesday, September 30, 2020","1,418,000"
Female,"Thursday, October 1, 2020","1,275,200"
Female,"Friday, October 2, 2020","1,275,500"
Female,"Saturday, October 3, 2020","1,275,000"
Female,"Sunday, October 4, 2020","1,274,500"
Female,"Monday, October 5, 2020","1,279,100"
Female,"Tuesday, October 6, 2020","1,278,100"
Female,"Wednesday, October 7, 2020","1,277,800"
Female,"Thursday, October 8, 2020","1,277,800"
Female,"Friday, October 9, 2020","1,277,600"
Female,"Saturday, October 10, 2020","1,277,900"
Female,"Sunday, October 11, 2020","1,277,100"
Female,"Monday, October 12, 2020","1,275,500"
Female,"Tuesday, October 13, 2020","1,274,600"
Female,"Wednesday, October 14, 2020","1,274,300"
Female,"Thursday, October 15, 2020","1,273,300"
Female,"Friday, October 16, 2020","1,269,700"
Female,"Saturday, October 17, 2020","1,268,300"
Female,"Sunday, October 18, 2020","1,267,400"
Female,"Monday, October 19, 2020","1,267,800"
Female,"Tuesday, October 20, 2020","1,266,100"
Female,"Wednesday, October 21, 2020","1,264,600"
Female,"Thursday, October 22, 2020","1,263,300"
Female,"Friday, October 23, 2020","1,262,700"
Female,"Saturday, October 24, 2020","1,261,600"
Female,"Sunday, October 25, 2020","1,259,700"
Female,"Monday, October 26, 2020","1,238,400"
Female,"Tuesday, October 27, 2020","1,236,400"
Female,"Wednesday, October 28, 2020","1,235,200"
Female,"Thursday, October 29, 2020","1,230,600"
Female,"Friday, October 30, 2020","1,227,200"
Female,"Saturday, October 31, 2020","1,188,300"
Female,"Sunday, November 1, 2020","1,819,100"
Female,"Monday, November 2, 2020","1,835,100"
Female,"Tuesday, November 3, 2020","1,837,600"
Female,"Wednesday, November 4, 2020","1,844,200"
Female,"Thursday, November 5, 2020","2,006,600"
Female,"Friday, November 6, 2020","2,023,400"
Female,"Saturday, November 7, 2020","2,031,900"
Female,"Sunday, November 8, 2020","2,044,600"
Female,"Monday, November 9, 2020","2,061,600"
Female,"Tuesday, November 10, 2020","2,061,300"
Female,"Wednesday, November 11, 2020","2,063,100"
Female,"Thursday, November 12, 2020","2,062,400"
Female,"Friday, November 13, 2020","2,059,200"
Female,"Saturday, November 14, 2020","2,058,500"
Female,"Sunday, November 15, 2020","2,058,600"
Female,"Monday, November 16, 2020","2,054,500"
Female,"Tuesday, November 17, 2020","2,053,100"
Female,"Wednesday, November 18, 2020","2,052,700"
Female,"Thursday, November 19, 2020","2,052,300"
Female,"Friday, November 20, 2020","2,052,100"
Female,"Saturday, November 21, 2020","2,051,300"
Female,"Sunday, November 22, 2020","2,049,100"
Female,"Monday, November 23, 2020","2,044,200"
Female,"Tuesday, November 24, 2020","2,041,900"
Female,"Wednesday, November 25, 2020","2,039,000"
Female,"Thursday, November 26, 2020","2,033,600"
Female,"Friday, November 27, 2020","2,031,200"
Female,"Saturday, November 28, 2020","2,010,300"
Female,"Sunday, November 29, 2020","1,985,800"
Female,"Monday, November 30, 2020","1,920,200"
Female,"Tuesday, December 1, 2020","1,902,700"
Female,"Wednesday, December 2, 2020","1,901,100"
Female,"Thursday, December 3, 2020","1,894,100"
Female,"Friday, December 4, 2020","1,891,600"
Female,"Saturday, December 5, 2020","1,890,800"
Female,"Sunday, December 6, 2020","1,888,700"
Female,"Monday, December 7, 2020","1,882,900"
Female,"Tuesday, December 8, 2020","1,879,500"
Female,"Wednesday, December 9, 2020","1,878,000"
Female,"Thursday, December 10, 2020","1,877,200"
Female,"Friday, December 11, 2020","1,875,400"
Female,"Saturday, December 12, 2020","1,874,600"
Female,"Sunday, December 13, 2020","1,870,700"
Female,"Monday, December 14, 2020","1,872,900"
Female,"Tuesday, December 15, 2020","1,871,800"
Female,"Wednesday, December 16, 2020","1,873,500"
Female,"Thursday, December 17, 2020","1,874,300"
Female,"Friday, December 18, 2020","1,874,900"
Female,"Saturday, December 19, 2020","1,879,700"
Female,"Sunday, December 20, 2020","1,896,300"
Female,"Monday, December 21, 2020","1,913,300"
Female,"Tuesday, December 22, 2020","1,916,400"
Female,"Wednesday, December 23, 2020","1,918,200"
Female,"Thursday, December 24, 2020","1,918,500"
Female,"Friday, December 25, 2020","1,925,700"
Female,"Saturday, December 26, 2020","1,923,700"
Female,"Sunday, December 27, 2020","1,923,000"
