entity,value,choice,
Apples,180,Freshwater withdrawals (l) per kg,
Apples,0,GHG emissions (kg of c02) per kg,
Apples,1,Land use (m^2) per kg,
Bananas,115,Freshwater withdrawals (l) per kg,
Bananas,1,GHG emissions (kg of c02) per kg,
Bananas,2,Land use (m^2) per kg,
Barley,17,Freshwater withdrawals (l) per kg,
Barley,1,GHG emissions (kg of c02) per kg,
Barley,1,Land use (m^2) per kg,
Beef (beef herd),1451,Freshwater withdrawals (l) per kg,
Beef (beef herd),99,GHG emissions (kg of c02) per kg,
Beef (beef herd),326,Land use (m^2) per kg,
Beef (dairy herd),2714,Freshwater withdrawals (l) per kg,
Beef (dairy herd),33,GHG emissions (kg of c02) per kg,
Beef (dairy herd),43,Land use (m^2) per kg,
Beet Sugar,218,Freshwater withdrawals (l) per kg,
Beet Sugar,2,GHG emissions (kg of c02) per kg,
Beet Sugar,2,Land use (m^2) per kg,
Berries & Grapes,420,Freshwater withdrawals (l) per kg,
Berries & Grapes,2,GHG emissions (kg of c02) per kg,
Berries & Grapes,2,Land use (m^2) per kg,
Brassicas,119,Freshwater withdrawals (l) per kg,
Brassicas,1,GHG emissions (kg of c02) per kg,
Brassicas,1,Land use (m^2) per kg,
Cane Sugar,620,Freshwater withdrawals (l) per kg,
Cane Sugar,3,GHG emissions (kg of c02) per kg,
Cane Sugar,2,Land use (m^2) per kg,
Cassava,0,Freshwater withdrawals (l) per kg,
Cassava,1,GHG emissions (kg of c02) per kg,
Cassava,2,Land use (m^2) per kg,
Cheese,5605,Freshwater withdrawals (l) per kg,
Cheese,24,GHG emissions (kg of c02) per kg,
Cheese,88,Land use (m^2) per kg,
Citrus Fruit,83,Freshwater withdrawals (l) per kg,
Citrus Fruit,0,GHG emissions (kg of c02) per kg,
Citrus Fruit,1,Land use (m^2) per kg,
Coffee,26,Freshwater withdrawals (l) per kg,
Coffee,29,GHG emissions (kg of c02) per kg,
Coffee,22,Land use (m^2) per kg,
Dark Chocolate,541,Freshwater withdrawals (l) per kg,
Dark Chocolate,47,GHG emissions (kg of c02) per kg,
Dark Chocolate,69,Land use (m^2) per kg,
Eggs,578,Freshwater withdrawals (l) per kg,
Eggs,5,GHG emissions (kg of c02) per kg,
Eggs,6,Land use (m^2) per kg,
Fish (farmed),3691,Freshwater withdrawals (l) per kg,
Fish (farmed),14,GHG emissions (kg of c02) per kg,
Fish (farmed),8,Land use (m^2) per kg,
Groundnuts,1852,Freshwater withdrawals (l) per kg,
Groundnuts,3,GHG emissions (kg of c02) per kg,
Groundnuts,9,Land use (m^2) per kg,
Lamb & Mutton,1803,Freshwater withdrawals (l) per kg,
Lamb & Mutton,40,GHG emissions (kg of c02) per kg,
Lamb & Mutton,370,Land use (m^2) per kg,
Maize,216,Freshwater withdrawals (l) per kg,
Maize,2,GHG emissions (kg of c02) per kg,
Maize,3,Land use (m^2) per kg,
Milk,628,Freshwater withdrawals (l) per kg,
Milk,3,GHG emissions (kg of c02) per kg,
Milk,9,Land use (m^2) per kg,
