Entity,Code,Year,Calorie sufficient diet cost (% cannot afford)
Albania,ALB,2017,0
Algeria,DZA,2017,0.1079367
Angola,AGO,2017,48.10549
Argentina,ARG,2017,0.2028175
Armenia,ARM,2017,0.2203957
Australia,AUS,2017,0.2439287
Austria,AUT,2017,0.1970276
Azerbaijan,AZE,2017,0
Bangladesh,BGD,2017,0.2078029
Belarus,BLR,2017,0
Belgium,BEL,2017,0.05766727
Belize,BLZ,2017,10.76588
Benin,BEN,2017,19.54813
Bhutan,BTN,2017,0.5288874
Bolivia,BOL,2017,7.438027
Bosnia and Herzegovina,BIH,2017,0
Botswana,BWA,2017,0.752416
Brazil,BRA,2017,2.076389
Bulgaria,BGR,2017,0.1288557
Burkina Faso,BFA,2017,0.823905
Burundi,BDI,2017,42.48668
Cameroon,CMR,2017,11.02579
Canada,CAN,2017,0
Cape Verde,CPV,2017,0.1623494
Central African Republic,CAF,2017,62.8391
Chad,TCD,2017,17.41418
Chile,CHL,2017,0.1547775
China,CHN,2017,0.07885481
Colombia,COL,2017,2.649699
Comoros,COM,2017,14.84323
Congo,COG,2017,36.00113
Costa Rica,CRI,2017,0.5103955
Cote d'Ivoire,CIV,2017,9.432848
Croatia,HRV,2017,0.3083222
Cyprus,CYP,2017,0.002312479
Czechia,CZE,2017,0
Democratic Republic of Congo,COD,2017,28.68827
Denmark,DNK,2017,0.1092044
Djibouti,DJI,2017,3.311857
Dominican Republic,DOM,2017,0.5847719
Ecuador,ECU,2017,3.393462
Egypt,EGY,2017,0.7054973
El Salvador,SLV,2017,2.749257
Estonia,EST,2017,0.1485402
Eswatini,SWZ,2017,15.93032
Ethiopia,ETH,2017,5.599133
Fiji,FJI,2017,0.03736218
Finland,FIN,2017,0.06272282
France,FRA,2017,0.002388263
Gabon,GAB,2017,1.150285
Gambia,GMB,2017,3.858992
Germany,DEU,2017,0
Ghana,GHA,2017,5.28721
Greece,GRC,2017,0.45555
Guinea,GIN,2017,8.894817
Guinea-Bissau,GNB,2017,45.31672
Guyana,GUY,2017,3.969284
Haiti,HTI,2017,14.42873
Honduras,HND,2017,12.80576
Hungary,HUN,2017,0.3069299
Iceland,ISL,2017,0
India,IND,2017,0.6541131
Indonesia,IDN,2017,1.066842
Iran,IRN,2017,0.03890009
Iraq,IRQ,2017,0.706506
Ireland,IRL,2017,0.1854279
Israel,ISR,2017,0
Italy,ITA,2017,0.996795
Jamaica,JAM,2017,0.876297
Japan,JPN,2017,0.9434035
Jordan,JOR,2017,0
Kazakhstan,KAZ,2017,0
Kenya,KEN,2017,10.6535
Kyrgyzstan,KGZ,2017,0.2792233
Laos,LAO,2017,0.5873047
Latvia,LVA,2017,0.1421721
Lesotho,LSO,2017,6.356867
Liberia,LBR,2017,26.97557
Lithuania,LTU,2017,0.8064244
Luxembourg,LUX,2017,0.1291701
Madagascar,MDG,2017,70.25125
Malawi,MWI,2017,1.302718
Malaysia,MYS,2017,0
Maldives,MDV,2017,0
Mali,MLI,2017,4.556961
Malta,MLT,2017,0.1004015
Mauritania,MRT,2017,1.558018
Mauritius,MUS,2017,0.008474872
Mexico,MEX,2017,0.3591183
Moldova,MDA,2017,0
Mongolia,MNG,2017,0.005172975
Montenegro,MNE,2017,1.260342
Morocco,MAR,2017,0.02480398
Mozambique,MOZ,2017,8.464884
Myanmar,MMR,2017,0.166441
Namibia,NAM,2017,9.829656
Nepal,NPL,2017,1.988262
Netherlands,NLD,2017,0.01160897
Nicaragua,NIC,2017,3.431858
Niger,NER,2017,5.401048
Nigeria,NGA,2017,44.86684
North Macedonia,MKD,2017,2.337817
Norway,NOR,2017,0.222648
Pakistan,PAK,2017,0.04515375
Palestine,PSE,2017,0.3909126
Panama,PAN,2017,1.85989
Paraguay,PRY,2017,0.1282366
Peru,PER,2017,1.298749
Philippines,PHL,2017,3.313564
Poland,POL,2017,0
Portugal,PRT,2017,0.1087342
Romania,ROU,2017,0.7519175
Russia,RUS,2017,0.001276778
Rwanda,RWA,2017,23.69054
Saint Lucia,LCA,2017,3.748323
Sao Tome and Principe,STP,2017,18.5827
Senegal,SEN,2017,8.035439
Serbia,SRB,2017,2.950878
Seychelles,SYC,2017,0.06652946
Sierra Leone,SLE,2017,40.10301
Slovakia,SVK,2017,0.5420523
Slovenia,SVN,2017,0
South Africa,ZAF,2017,18.0559
South Korea,KOR,2017,0
Spain,ESP,2017,0.5017389
Sri Lanka,LKA,2017,0.08013956
Sudan,SDN,2017,5.536669
Sweden,SWE,2017,0.1356052
Switzerland,CHE,2017,0
Tajikistan,TJK,2017,0.7854215
Tanzania,TZA,2017,31.10177
Thailand,THA,2017,0.002042557
Togo,TGO,2017,66.35256
Trinidad and Tobago,TTO,2017,0.1681227
Tunisia,TUN,2017,0
Turkey,TUR,2017,0
Uganda,UGA,2017,7.880419
United Kingdom,GBR,2017,0.1003027
United States,USA,2017,0.9991196
Uruguay,URY,2017,0.02453968
Uzbekistan,UZB,2017,0
Vietnam,VNM,2017,0.4951231
Zambia,ZMB,2017,57.78896
Zimbabwe,ZWE,2017,8.090322
