Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)","Share of energy from cereals, roots and tubers (FAO (2017))",Population (historical estimates)
Afghanistan,AFG,2019,2065.03623501599,,38041757
Africa,,2019,,,1308064176
Africa Eastern and Southern,,2019,3568.59701698507,,
Africa Western and Central,,2019,4142.39838164389,,
Albania,ALB,2019,13671.4884222978,,2880913
Algeria,DZA,2019,11510.5570882585,,43053054
American Samoa,ASM,2019,,,55312
Andorra,AND,2019,,,77146
Angola,AGO,2019,6670.33145836633,,31825299
Anguilla,AIA,2019,,,14872
Antigua and Barbuda,ATG,2019,21548.7250080262,,97115
Arab World,,2019,14599.7078927554,,
Argentina,ARG,2019,22063.9043717551,,44780675
Armenia,ARM,2019,13653.7633812861,,2957728
Aruba,ABW,2019,,,106310
Asia,,2019,,,4600172691
Australia,AUS,2019,49455.5385080697,,25203200
Austria,AUT,2019,55833.3156857561,,8955108
Azerbaijan,AZE,2019,14439.3014032972,,10047719
Bahamas,BHS,2019,37100.3629626189,,389486
Bahrain,BHR,2019,45060.4237448845,,1641164
Bangladesh,BGD,2019,4753.72659686814,,163046173
Barbados,BRB,2019,15639.0478442375,,287021
Belarus,BLR,2019,19283.1171477055,,9452409
Belgium,BEL,2019,51742.7263830791,,11539326
Belize,BLZ,2019,7251.9213512161,,390351
Benin,BEN,2019,3287.30953781986,,11801151
Bermuda,BMU,2019,81804.2656772398,,62508
Bhutan,BTN,2019,11832.1582535521,,763094
Bolivia,BOL,2019,8724.47418740562,,11513102
Bonaire Sint Eustatius and Saba,BES,2019,,,25983
Bosnia and Herzegovina,BIH,2019,14896.7900391155,,3300998
Botswana,BWA,2019,17776.8083134036,,2303703
Brazil,BRA,2019,14763.8716968734,,211049519
British Virgin Islands,VGB,2019,,,30033
Brunei,BRN,2019,62098.0113423415,,433296
Bulgaria,BGR,2019,23191.5745846967,,7000117
Burkina Faso,BFA,2019,2178.3228791324,,20321383
Burundi,BDI,2019,751.6641528,,11530577
Cambodia,KHM,2019,4388.80090863468,,16486542
Cameroon,CMR,2019,3642.27627296724,,25876387
Canada,CAN,2019,49006.7431073981,,37411038
Cape Verde,CPV,2019,7171.8264247567,,549936
Caribbean Small States,,2019,15994.2604603259,,
Cayman Islands,CYM,2019,73633.7016276696,,64947
Central African Republic,CAF,2019,945.1420429,,4745179
Central Europe and the Baltics,,2019,32553.7324351593,,
Chad,TCD,2019,1579.62610063652,,15946882
Channel Islands,OWID_CIS,2019,,,172264
Chile,CHL,2019,24967.5802124165,,18952035
China,CHN,2019,16092.300767051,,1433783692
Colombia,COL,2019,14585.3024908488,,50339443
Comoros,COM,2019,3059.49172597369,,850891
Congo,COG,2019,3842.79885571048,,5380504
Cook Islands,COK,2019,,,17547
Costa Rica,CRI,2019,20805.343678104,,5047561
Cote d'Ivoire,CIV,2019,5212.5540214586,,25716554
Croatia,HRV,2019,28753.5162699607,,4130299
Cuba,CUB,2019,,,11333484
Curacao,CUW,2019,24494.3426149147,,163423
Cyprus,CYP,2019,40226.8094909879,,1198574
Czechia,CZE,2019,40696.3104860197,,10689213
Democratic Republic of Congo,COD,2019,1097.9488401154,,86790568
Denmark,DNK,2019,57678.0988930692,,5771877
Djibouti,DJI,2019,5534.76617152744,,973557
Dominica,DMA,2019,11905.8705154398,,71808
Dominican Republic,DOM,2019,18412.8999875519,,10738957
Early-demographic dividend,,2019,9534.21063505113,,
East Asia & Pacific,,2019,17705.0467733146,,
East Asia & Pacific (IDA & IBRD),,2019,14566.8447846089,,
East Asia & Pacific (excluding high income),,2019,14415.5191629424,,
Ecuador,ECU,2019,11370.603299072,,17373657
Egypt,EGY,2019,11763.2532849551,,100388076
El Salvador,SLV,2019,8796.06206368967,,6453550
Equatorial Guinea,GNQ,2019,18502.563964039,,1355982
Eritrea,ERI,2019,,,3497117
Estonia,EST,2019,36830.0747898819,,1325649
Eswatini,SWZ,2019,8621.8040669514,,1148133
Ethiopia,ETH,2019,2221.40466452958,,112078727
Euro area,,2019,46913.5500223662,,
Europe,,2019,,,748381389
Europe & Central Asia,,2019,35200.2113313619,,
Europe & Central Asia (IDA & IBRD),,2019,23053.853521362,,
Europe & Central Asia (excluding high income),,2019,22085.8637134684,,
European Union,,2019,44275.5716411923,,
Faeroe Islands,FRO,2019,,,48677
Falkland Islands,FLK,2019,,,3372
Fiji,FJI,2019,13684.3608160228,,889955
Finland,FIN,2019,48689.2341509211,,5532159
France,FRA,2019,45834.1669122703,,65129731
French Guiana,GUF,2019,,,290823
French Polynesia,PYF,2019,,,279285
Gabon,GAB,2019,14950.0770784889,,2172578
Gambia,GMB,2019,2222.87959013357,,2347696
Georgia,GEO,2019,14989.2581602038,,3996762
Germany,DEU,2019,53639.26072156,,83517046
Ghana,GHA,2019,5396.86608780051,,30417858
Gibraltar,GIB,2019,,,33706
Greece,GRC,2019,29723.2219580446,,10473452
Greenland,GRL,2019,,,56660
Grenada,GRD,2019,17050.2930413479,,112002
Guadeloupe,GLP,2019,,,400048
Guam,GUM,2019,,,167295
Guatemala,GTM,2019,8653.30819508205,,17581476
Guinea,GIN,2019,2567.0339869651,,12771246
Guinea-Bissau,GNB,2019,1939.2895096348,,1920917
Guyana,GUY,2019,13082.2026195835,,782775
Haiti,HTI,2019,2905.43856536495,,11263079
Heavily indebted poor countries (HIPC),,2019,2576.64430999862,,
High income,,2019,50296.32710103,,
Honduras,HND,2019,5736.18163330613,,9746115
Hong Kong,HKG,2019,59586.2040065092,,7436157
Hungary,HUN,2019,32553.5236997988,,9684680
IBRD only,,2019,13486.6663566891,,
IDA & IBRD total,,2019,10996.8118303763,,
IDA blend,,2019,4872.31174319057,,
IDA only,,2019,3410.67262259526,,
IDA total,,2019,3892.23165192002,,
Iceland,ISL,2019,56913.9568467085,,339037
India,IND,2019,6713.93221110733,,1366417756
Indonesia,IDN,2019,11811.9755589147,,270625567
Iran,IRN,2019,12389.2233504388,,82913893
Iraq,IRQ,2019,10565.2474296597,,39309789
Ireland,IRL,2019,87786.1569266174,,4882498
Isle of Man,IMN,2019,,,84589
Israel,ISR,2019,40007.3191584114,,8519373
Italy,ITA,2019,42662.5223699096,,60550092
Jamaica,JAM,2019,9777.00568620683,,2948277
Japan,JPN,2019,41380.0935773113,,126860299
Jordan,JOR,2019,10071.379888314,,10101697
Kazakhstan,KAZ,2019,26351.8044418782,,18551428
Kenya,KEN,2019,4329.87188383259,,52573967
Kiribati,KIR,2019,2270.10860723388,,117608
Kosovo,OWID_KOS,2019,11485.9240071233,,
Kuwait,KWT,2019,49853.7362805684,,4207077
Kyrgyzstan,KGZ,2019,5258.36669601039,,6415851
Laos,LAO,2019,7886.65281419668,,7169456
Late-demographic dividend,,2019,17431.2669768095,,
Latin America & Caribbean,,2019,16410.1839759543,,
Latin America & Caribbean (IDA & IBRD),,2019,16353.6396715869,,
Latin America & Caribbean (excluding high income),,2019,15469.4522184808,,
Latvia,LVA,2019,30858.750074744,,1906740
Least developed countries: UN classification,,2019,3079.48049401867,,
Lebanon,LBN,2019,14551.5937122886,,6855709
Lesotho,LSO,2019,2583.92437114575,,2125267
Liberia,LBR,2019,1427.8190899409,,4937374
Libya,LBY,2019,15174.1625153905,,6777453
Liechtenstein,LIE,2019,,,38020
Lithuania,LTU,2019,37062.5867515036,,2759631
Low & middle income,,2019,10643.2091781594,,
Lower middle income,,2019,7106.96748496422,,
Luxembourg,LUX,2019,113940.23744151,,615730
Macao,MAC,2019,127161.499444924,,640446
Madagascar,MDG,2019,1618.53231427249,,26969306
Malawi,MWI,2019,1514.66267654193,,18628749
Malaysia,MYS,2019,28364.4763211606,,31949789
Maldives,MDV,2019,19531.0425624222,,530957
Mali,MLI,2019,2321.91717305646,,19658023
Malta,MLT,2019,43950.5880527847,,440377
Marshall Islands,MHL,2019,4029.08632919678,,58791
Martinique,MTQ,2019,,,375557
Mauritania,MRT,2019,5197.0722508281,,4525698
Mauritius,MUS,2019,22870.2862495308,,1269670
Mayotte,MYT,2019,,,266153
Mexico,MEX,2019,19701.337669842,,127575529
Micronesia (country),FSM,2019,3466.41329281782,,113811
Middle East & North Africa,,2019,16261.5750481405,,
Middle East & North Africa (IDA & IBRD),,2019,10669.337506771,,
Middle East & North Africa (excluding high income),,2019,10616.3983190933,,
Middle income,,2019,11577.7309862624,,
Moldova,MDA,2019,13022.0046061019,,4043258
Monaco,MCO,2019,,,38967
Mongolia,MNG,2019,12316.7913725436,,3225166
Montenegro,MNE,2019,21533.949235748,,627988
Montserrat,MSR,2019,,,4991
Morocco,MAR,2019,7537.48527234118,,36471766
Mozambique,MOZ,2019,1281.50604143547,,30366043
Myanmar,MMR,2019,5082.50316102148,,54045422
Namibia,NAM,2019,9845.21306790198,,2494524
Nauru,NRU,2019,13527.411941066,,10764
Nepal,NPL,2019,3952.76034914913,,28608715
Netherlands,NLD,2019,56629.110793233,,17097123
New Caledonia,NCL,2019,,,282757
New Zealand,NZL,2019,42877.9429107086,,4783062
Nicaragua,NIC,2019,5451.7078347038,,6545503
Niger,NER,2019,1224.51026155853,,23310719
Nigeria,NGA,2019,5135.49946875343,,200963603
Niue,NIU,2019,,,1614
North America,,2019,61234.7816693192,,587512621
North Korea,PRK,2019,,,25666158
North Macedonia,MKD,2019,16600.1436488516,,2083458
Northern Mariana Islands,MNP,2019,,,57213
Norway,NOR,2019,64452.812617024,,5378859
OECD members,,2019,44553.5864153074,,
Oceania,,2019,,,42128048
Oman,OMN,2019,27294.5729762764,,4974992
Other small states,,2019,22723.8996219705,,
Pacific island small states,,2019,7326.50883372387,,
Pakistan,PAK,2019,4690.48477660926,,216565317
Palau,PLW,2019,17572.6226006793,,18001
Palestine,PSE,2019,6245.44869712345,,4981422
Panama,PAN,2019,31432.1132703975,,4246440
Papua New Guinea,PNG,2019,4349.80804806069,,8776119
Paraguay,PRY,2019,12615.5286456565,,7044639
Peru,PER,2019,12853.6920747721,,32510462
Philippines,PHL,2019,8914.72379820449,,108116622
Poland,POL,2019,33120.517844588,,37887771
Portugal,PRT,2019,34879.7059746537,,10226178
Post-demographic dividend,,2019,48999.1491466142,,
Pre-demographic dividend,,2019,3543.50029007316,,
Puerto Rico,PRI,2019,34804.9347111748,,2933404
Qatar,QAT,2019,90043.7990029688,,2832071
Reunion,REU,2019,,,888932
Romania,ROU,2019,29857.6464700842,,19364558
Russia,RUS,2019,27210.5459977867,,145872260
Rwanda,RWA,2019,2227.51703252759,,12626938
Saint Barthlemy,,2019,,,9853
Saint Helena,SHN,2019,,,6061
Saint Kitts and Nevis,KNA,2019,26235.5545488063,,52834
Saint Lucia,LCA,2019,15448.34490734,,182795
Saint Martin (French part),MAF,2019,,,38002
Saint Pierre and Miquelon,SPM,2019,,,5821
