Entity,Code,Year,Share,GDP per capita,145446-annotations,Population,
Central African Republic,CAF,2013,3.646620543,567,,4447945,
Niger,NER,2013,2.313309776,880,,18504287,
Liberia,LBR,2013,1.477313975,900,,4248337,
Mozambique,MOZ,2013,1.112571178,1011,,25560752,
Malawi,MWI,2013,1.316434305,1104,,15839287,
Togo,TGO,2013,1.473512632,1292,,6954721,
Madagascar,MDG,2013,1.953216374,1345,,22961259,
Ethiopia,ETH,2013,1.443453778,1365,,95385793,
Guinea-Bissau,GNB,2013,1.551483421,1378,,1648259,
Guinea,GIN,2013,1.549493375,1421,,10892821,
Burkina Faso,BFA,2013,1.627941176,1422,,17072791,
Mali,MLI,2013,3.278892734,1443,,16449854,
Rwanda,RWA,2013,1.003590664,1554,,10811538,
Zimbabwe,ZWE,2013,2.229383886,1604,,13350378,
Haiti,HTI,2013,1.941654711,1722,,10400672,
Gambia,GMB,2013,2.146118721,1767,,1963708,
North Korea,PRK,2013,1.923591213,1781.3008,,24929500,
Chad,TCD,2013,1.838862559,1888,,13220433,
Uganda,UGA,2013,2.326760563,1889,,35694519,
Benin,BEN,2013,2.176403207,1939,,10004594,
Sierra Leone,SLE,2013,2.474209651,1965,,6863975,
Afghanistan,AFG,2013,2.338755981,2025,,32269592,
Senegal,SEN,2013,2.483713355,2185,,13782429,
Nepal,NPL,2013,1.714927048,2316,,26916795,
Tanzania,TZA,2013,1.847826087,2372,,48483132,
Lesotho,LSO,2013,2.021352313,2559,,2028528,
Cameroon,CMR,2013,1.752152752,2612,,22077300,
Djibouti,DJI,2013,2.315304948,2724,,883296,
Cambodia,KHM,2013,3.085991118,2782,,15026330,
Cote d'Ivoire,CIV,2013,1.953554841,2823,,22087506,
Kenya,KEN,2013,2.883046238,2854,,45519986,
Bangladesh,BGD,2013,1.619591837,3057,,152761413,
Sao Tome and Principe,STP,2013,2.65,3314,,192076,
Mauritania,MRT,2013,4.710709318,3319,,3817497,
Zambia,ZMB,2013,1.912953368,3419,,14926551,
Sudan,SDN,2013,5,3451,,37072555,
Tajikistan,TJK,2013,3.865515675,3471,,8059782,
Ghana,GHA,2013,2.283819629,3683,,26607641,
Yemen,YEM,2013,2.497525866,4165,,25147112,
Myanmar,MMR,2013,5.244651886,4424,,51852464,
Kyrgyzstan,KGZ,2013,4.975505857,4509,,5731312,
Nicaragua,NIC,2013,3.214556482,4527,,6062462,
Honduras,HND,2013,3.513820523,4561,,8798524,
Pakistan,PAK,2013,4.468852459,4703,,191260799,
Laos,LAO,2013,2.381068951,4961,,6541302,
India,IND,2013,1.950386336,5172,,1280842119,
Vietnam,VNM,2013,4.524590164,5200,,90752593,
Nigeria,NGA,2013,1.459259259,5370,,171765819,
Moldova,MDA,2013,5.193809875,5421,,4074585,
Bolivia,BOL,2013,5.276595745,5789,,10542375,
Congo,COG,2013,4.030797101,6031,,4622757,
Philippines,PHL,2013,3.86770428,6472,,98871558,
Guatemala,GTM,2013,2.948325754,6829,,15595821,
Jamaica,JAM,2013,5.405680991,7017,,2858710,
Cuba,CUB,2013,3.727779407,7379,,11282722,
Morocco,MAR,2013,3.131354687,7619,,33715705,
Eswatini,SWZ,2013,3.019321597,7805,,1086843,
El Salvador,SLV,2013,3.919285991,7845,,6266076,
Paraguay,PRY,2013,5.280803399,8102,,6510273,
Uzbekistan,UZB,2013,4.230434783,8482,,29932630,
Angola,AGO,2013,2.976142337,8508,,26015786,
Namibia,NAM,2013,3.602026716,8793,,2233506,
Bosnia and Herzegovina,BIH,2013,3.857958148,9093,,3542598,
Dominica,DMA,2013,5.348345275,9145,,71019,
Armenia,ARM,2013,5.908469945,9385,,2897593,
Albania,ALB,2013,7.443783276,9660,,2903788,
Indonesia,IDN,2013,2.550954267,9703,,251805314,
Georgia,GEO,2013,3.968330465,9829,,4048701,
Sri Lanka,LKA,2013,2.569515557,9928,,20663053,
Saint Lucia,LCA,2013,7.802697495,10037,,177505,
Ukraine,UKR,2013,5.500318674,10404,,45286988,
Ecuador,ECU,2013,6.233788396,10760,,15707473,
Egypt,EGY,2013,2.991482112,10775,,88404652,
Tunisia,TUN,2013,3.388474171,10898,,10952949,
Peru,PER,2013,4.005925926,11034,,29773986,
China,CHN,2013,5.101673102,11328,,1391883335,
