Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)","Share of energy from cereals, roots and tubers (FAO (2017))",Population (historical estimates)
Albania,ALB,2011,11052.7904635136,41,2928601
Algeria,DZA,2011,11078.2423287826,57,36661438
American Samoa,ASM,2011,,,55755
Andorra,AND,2011,,,83748
Angola,AGO,2011,7675.44608452759,60,24220660
Anguilla,AIA,2011,,,13612
Antigua and Barbuda,ATG,2011,17605.1701396079,,89250
Arab World,,2011,13467.8053634827,,
Argentina,ARG,2011,24647.6292739541,36,41320497
Armenia,ARM,2011,9725.27822960819,43,2876536
Aruba,ABW,2011,35392.605185777,,102050
Asia,,2011,,,4254064787
Australia,AUS,2011,45463.6819958564,25,22538002
Austria,AUT,2011,53102.950844304,26,8453501
Azerbaijan,AZE,2011,13905.2457636452,63,9146277
Bahamas,BHS,2011,36253.6681039906,,359583
Bahrain,BHR,2011,44157.4796400241,,1278153
Bangladesh,BGD,2011,3034.95108156758,80,149273134
Barbados,BRB,2011,15444.7463207601,32,282987
Belarus,BLR,2011,18251.7809447653,38,9415316
Belgium,BEL,2011,48153.9390923805,30,11013860
Belize,BLZ,2011,7259.85188640883,40,330236
Benin,BEN,2011,2707.86970043194,72,9460829
Bermuda,BMU,2011,85829.3782604391,26,65075
Bhutan,BTN,2011,8744.95764294872,,693297
Bolivia,BOL,2011,6844.98378288122,52,10212951
Bonaire Sint Eustatius and Saba,BES,2011,,,21998
Bosnia and Herzegovina,BIH,2011,11176.876815237,50,3661173
Botswana,BWA,2011,14770.4390405053,49,2015406
Brazil,BRA,2011,15323.3317296101,34,197514541
British Virgin Islands,VGB,2011,,,28326
Brunei,BRN,2011,69388.8131973129,46,393687
Bulgaria,BGR,2011,17966.1580585619,43,7378652
Burkina Faso,BFA,2011,1775.77917858267,65,16081915
Burundi,BDI,2011,852.5026216,,8958406
Cabo Verde,,2011,,46,
Cambodia,KHM,2011,2862.9080457977,72,14541421
Cameroon,CMR,2011,3126.78623748453,54,20906392
Canada,CAN,2011,45822.5964338567,28,34539156
Cape Verde,CPV,2011,6366.1285114968,,498858
Caribbean Small States,,2011,15973.1393496105,,
Cayman Islands,CYM,2011,66255.631772759,,57877
Central African Republic,CAF,2011,1242.71480100483,56,4418639
Central Europe and the Baltics,,2011,24862.8125624353,,
Chad,TCD,2011,1676.76945838237,68,12360986
Channel Islands,OWID_CIS,2011,,,160990
Chile,CHL,2011,22337.8605577339,44,17233584
China,CHN,2011,9686.61528974418,52,1376497633
Colombia,COL,2011,12480.5465526004,35,45662747
Comoros,COM,2011,2924.68551719278,,706578
Congo,COG,2011,5141.18322685501,61,4394842
Cook Islands,COK,2011,,,18200
Costa Rica,CRI,2011,17360.2015917797,34,4633086
Cote d'Ivoire,CIV,2011,3417.77838502631,67,21028652
Croatia,HRV,2011,24316.2479790563,32,4313098
Cuba,CUB,2011,,44,11236671
Curacao,CUW,2011,28313.0486187097,,152309
Cyprus,CYP,2011,37562.4491443722,28,1124837
Czechia,CZE,2011,34002.1897752206,31,10566512
Democratic Republic of Congo,COD,2011,894.8265445,,66755151
Denmark,DNK,2011,51293.2061782002,29,5582980
Djibouti,DJI,2011,,56,853671
Dominica,DMA,2011,11971.0201324486,37,70912
Dominican Republic,DOM,2011,13024.3285156301,32,9813219
Early-demographic dividend,,2011,7495.85252121684,,
East Asia & Pacific,,2011,12509.3655610726,,
East Asia & Pacific (IDA & IBRD),,2011,9254.17733031256,,
East Asia & Pacific (excluding high income),,2011,9156.11087646465,,
Ecuador,ECU,2011,10984.2837669942,34,15243885
Egypt,EGY,2011,10302.4428451733,65,84529251
El Salvador,SLV,2011,7575.63973950405,49,6210567
Equatorial Guinea,GNQ,2011,35377.736491918,,986861
Eritrea,ERI,2011,,,3213969
Estonia,EST,2011,28159.5802675351,37,1327701
Eswatini,SWZ,2011,7575.71558669499,59,1072029
Ethiopia,ETH,2011,1360.93852243609,76,90139928
Euro area,,2011,43397.6474770767,,
Europe,,2011,,,738977880
Europe & Central Asia,,2011,31513.757003121,,
Europe & Central Asia (IDA & IBRD),,2011,19410.095088172,,
Europe & Central Asia (excluding high income),,2011,18814.3054662797,,
European Union,,2011,39755.0135483547,,
